City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,muros,42.7762,-9.0603,63.09,81,81,16.75,ES,1680114940
109,hohhot,40.8106,111.6522,52.92,32,0,2.24,CN,1680114940
110,francheville,45.7388,4.7722,66.63,39,0,6.91,FR,1680114941
111,butaritari,3.0707,172.7902,81.01,82,98,14.94,KI,1680114941
112,zyuzelskiy,56.4856,60.1331,24.64,88,5,3.31,RU,1680114941
113,saskylakh,71.9167,114.0833,-18.22,100,97,3.85,RU,1680114942
114,lillooet,50.6856,-121.942,42.6,77,100,2.01,CA,1680114942
115,noumea,-22.2763,166.4572,78.01,99,100,7.09,NC,1680114942
116,vila franca do campo,37.7167,-25.4333,61.21,82,96,12.8,PT,1680114942
117,harper,4.375,-7.7169,80.98,83,7,8.93,LR,1680114943
118,hobart,-42.8794,147.3294,55.26,78,100,16.11,AU,1680114747
119,fleetwood,53.9253,-3.0109,57.31,87,40,1.14,GB,1680114888
120,ivanava,52.1451,25.5365,29.71,72,3,6.24,BY,1680114943
121,hilo,19.7297,-155.09,77.29,93,75,6.91,US,1680114695
122,zeya,53.75,127.2667,19.51,86,100,7.49,RU,1680114785
123,nanortalik,60.1432,-45.2371,28.65,82,89,6.17,GL,1680114943
124,grand gaube,-20.0064,57.6608,81.0,74,78,3.0,MU,1680114943
125,umm lajj,25.0213,37.2685,75.36,60,100,7.36,SA,1680114943
126,saint-philippe,-21.3585,55.7679,80.19,81,63,9.95,RE,1680114944
127,masyaf,35.0653,36.3406,47.79,68,36,35.43,SY,1680114944
128,mogocha,53.7333,119.7667,9.48,94,19,2.98,RU,1680114910
129,lavrentiya,65.5833,-171.0,18.93,95,100,12.21,RU,1680114945
130,newport,51.5877,-2.9984,54.45,94,100,4.81,GB,1680114945
131,kozluk,38.1938,41.4885,52.05,82,100,7.0,TR,1680114946
132,malartic,48.1335,-78.1328,28.51,89,100,9.75,CA,1680114946
133,praia,14.9215,-23.5087,90.14,29,0,16.11,CV,1680114946
134,maniitsoq,65.4167,-52.9,20.7,69,12,5.55,GL,1680114947
135,izumo,35.3667,132.7667,40.95,60,2,4.27,JP,1680114795
136,cap malheureux,-19.9842,57.6142,79.47,74,67,3.0,MU,1680114947
137,port lincoln,-34.7333,135.8667,58.42,82,14,4.97,AU,1680114947
138,lisakovsk,52.5369,62.4936,29.5,85,100,16.42,KZ,1680114948
139,elat,29.5581,34.9482,71.44,43,0,18.41,IL,1680114746
140,padang,-0.9492,100.3543,77.05,88,87,1.5,ID,1680114948
